,job_id,build_target,build_tool,build_canceled_open_pr_on_branch
268,159540103,,[],False
269,109333189,WEB,[],False
270,72531257,,['maven'],False
271,77281951,,[],False
272,81665639,,[],False
273,139976079,IT,['maven'],False
274,84880966,,['maven'],False
275,73550133,,['maven'],False
276,306284352,WEB_TESTS,"['yarn', 'jest']",False
277,70038116,,['maven'],False
278,154113234,WEB,['mocha'],False
279,140819380,IT,['maven'],False
280,233119078,BUILD,['maven'],False
281,137436167,IT,[],False
282,207426574,BUILD,['maven'],False
283,249613476,WEB_TESTS,"['yarn', 'jest']",False
284,75293197,,[],False
285,88803355,,['maven'],False
286,168228062,CI,['maven'],False
287,241956742,BUILD,['maven'],False
288,201866344,IT,['maven'],False
289,103163823,IT,['maven'],False
290,72849531,,[],False
291,140998645,WEB,['mocha'],False
292,76990701,,['maven'],False
293,73176453,,['maven'],False
294,119821353,IT,['maven'],False
295,276912929,WEB_TESTS,"['yarn', 'jest']",False
296,95393239,MYSQL,['maven'],False
297,80802180,,[],False
298,132591029,IT,['maven'],False
299,258578409,WEB_TESTS,[],True
300,114153492,IT,['maven'],False
301,69401457,,[],False
302,152749659,CI,[],False
303,265442242,WEB_TESTS,"['yarn', 'jest']",False
304,106492362,IT,[],False
305,114786744,IT,['maven'],False
306,306354477,WEB_TESTS,"['yarn', 'jest']",False
307,72481292,,['maven'],False
308,78077431,,['maven'],False
309,164653768,IT,['maven'],False
310,111963309,,[],False
311,78385174,,['maven'],False
312,326751381,BUILD,['maven'],False
313,140542920,,,
314,110991001,IT,['maven'],False
315,272897464,BUILD,['maven'],False
316,62672517,,['maven'],False
317,226027690,,[],False
318,211825934,WEB_TESTS,"['yarn', 'jest']",False
319,82966327,,['maven'],False
320,211258164,BUILD,['maven'],False
321,84455831,,['maven'],False
322,127559112,WEB,['mocha'],False
323,120094571,WEB,['mocha'],False
324,100561136,MYSQL,['maven'],False
325,118474039,IT,['maven'],False
326,73009353,,['maven'],False
327,93911676,WEB,['mocha'],False
328,160428855,CI,['maven'],False
329,123289420,CI,['maven'],False
330,83678016,,[],False
331,78477089,,['maven'],False
332,80652502,,['maven'],False
333,111027020,WEB,['mocha'],False
334,66533579,,[],False
335,201834104,CI,['maven'],False
336,84876501,,[],False
337,101102451,IT,['maven'],False
338,85292509,,['maven'],False
339,88797479,,['maven'],False
340,195941823,,[],False
341,213398030,BUILD,['maven'],False
342,228658925,,[],False
343,224679775,BUILD,['maven'],False
344,139747456,IT,['maven'],False
345,237067815,WEB_TESTS,"['yarn', 'jest']",False
346,222666687,BUILD,['maven'],False
347,306796327,WEB_TESTS,"['yarn', 'jest']",False
348,188532075,WEB,['yarn'],False
349,182623855,,,
350,75570061,,['maven'],False
351,269497550,WEB_TESTS,"['yarn', 'jest']",False
352,116769206,,,
353,106737775,CI,['maven'],False
354,81581792,,['maven'],False
355,132305274,IT,['maven'],False
356,66186740,,[],False
357,264270580,WEB_TESTS,"['yarn', 'jest']",False
358,130776171,IT,['maven'],False
359,279870446,BUILD,[],False
360,88308538,,['maven'],False
361,199606860,WEB,['yarn'],False
362,93310895,IT,[],False
363,113065959,IT,['maven'],False
364,131745836,CI,['maven'],False
365,274934696,BUILD,['maven'],False
366,276833023,BUILD,['maven'],False
367,159345668,IT,['maven'],False
368,120611388,IT,['maven'],False
369,76619114,,['maven'],False
370,179459080,,,
371,81561722,,['maven'],False
372,128826688,IT,['maven'],False
373,156156863,,[],False
374,104666112,IT,['maven'],False
375,94679402,,,
376,74943728,,['maven'],False
377,97398973,IT,['maven'],False
378,266056026,WEB_TESTS,"['yarn', 'jest']",False
379,112951449,IT,['maven'],False
380,102146706,POSTGRES,['maven'],False
381,82686519,,['maven'],False
382,105174192,IT,['maven'],False
383,212080211,BUILD,['maven'],False
384,77313614,,['maven'],False
385,74433930,,,
386,195819464,,[],False
387,106961176,,[],False
388,89656260,,['maven'],False
389,75599436,,['maven'],False
390,94913362,WEB,['mocha'],False
391,79890488,,['maven'],False
392,343901816,BUILD,[],False
393,68820210,,['maven'],False
394,72476388,,['maven'],False
395,86146437,,['maven'],False
396,70372946,,[],False
397,127754936,CI,['maven'],False
398,73332972,,['maven'],False
399,266827010,BUILD,[],False
