,job_id,build_target,build_tool,build_canceled_open_pr_on_branch,errors,warnings,skipped_words,lines,words,exceptions,error_classes,tests_total,tests_passed,tests_failed,tests_skipped,failed_tasks
0,91817314,,,,,,,,,,,,,,,
1,106940202,POSTGRES,['maven'],False,2.0,528.0,390.0,6436.0,40734.0,"['BufferUnderflow', 'MaximumCyclesToFound', 'Starting', 'Analysis', 'ArtifactTransferFailed', 'ArtifactMetadataRetrieval', 'CycleDetectedInPluginGraph', 'InvalidParameter', 'DuplicateParameter', 'InvalidPluginDescriptor', 'MojoFailure', 'DuplicateMojoDescriptor', 'ArtifactNotFound', 'OverConstrainedVersion', 'InvalidArtifactRT', 'ArtifactResolution', 'PlexusCipher', 'Email', 'Document', 'SecDispatcher', 'JsonIO', 'DuplicateRealm', 'ClassWorld', 'VersionRangeResolution', 'Repository', 'CommandLineTimeOut', 'ReadOnlyFolder', 'UnresolvableModel', 'SettingsBuilding', 'BufferUnderflow']",[],2311.0,0.0,0.0,26.0,[]
2,88986919,,['maven'],False,1.0,37.0,87.0,4417.0,27401.0,['BufferUnderflow'],[],2.0,0.0,0.0,0.0,[]
3,67335506,,['maven'],False,0.0,180.0,45.0,5295.0,34475.0,"['BufferUnderflow', 'MaximumCyclesToFound', 'BufferUnderflow', 'NotImplemented', 'NestableRuntime']",[],0.0,0.0,0.0,0.0,[]
4,145799354,,[],False,0.0,0.0,0.0,138.0,2320.0,[],[],0.0,0.0,0.0,0.0,[]
5,227870260,WEB_TESTS,"['yarn', 'jest']",False,0.0,1.0,0.0,399.0,5236.0,[],[],477.0,477.0,0.0,0.0,[]
6,88322119,,[],False,0.0,0.0,0.0,623.0,9697.0,[],[],0.0,0.0,0.0,0.0,[]
7,206984871,BUILD,['maven'],False,0.0,29.0,1827.0,14840.0,100933.0,"['BufferUnderflow', 'Timeout', 'InstanceNotFound', 'Expected', 'IllegalState', 'IllegalArgument', 'IllegalArgument', 'IllegalArgument', 'IllegalArgument', 'IllegalState', 'IllegalArgument', 'NullPointer', 'IllegalArgument', 'IllegalArgument', 'SQL', 'Expected', 'SQL', 'Expected', 'SQL', 'Expected', 'IllegalArgument', 'Expected', 'Runtime', 'NullPointer', 'Sonar', 'Expected', 'Runtime', 'Runtime', 'Runtime', 'Runtime', 'IllegalArgument', 'Runtime', 'Elasticsearch', 'Runtime', 'Expected', 'Runtime', 'Expected', 'set', 'Runtime', 'Runtime', 'Runtime', 'Email', 'Expected', 'Messaging', 'Connect', 'SSLHandshake', 'InstanceNotFound', 'IllegalArgument', 'Expected', 'IllegalState', 'InvalidProtocolBuffer', 'Runtime', 'Runtime', 'Interrupted', 'IllegalState', 'IllegalState', 'IllegalState', 'IllegalState', 'IllegalState', 'Expected', 'RejectedExecution', 'IllegalArgument', 'ClosedByInterrupt', 'IllegalState', 'Expected']","['Authentication', 'Authentication', 'Authentication', 'Authentication', 'Authentication', 'Authentication']",11737.0,0.0,0.0,1.0,[]
8,236327687,BUILD,['maven'],False,0.0,1334.0,2055.0,28098.0,209445.0,"['BufferUnderflow', 'IllegalState', 'InstanceNotFound', 'Expected', 'IllegalState', 'IllegalState', 'Interrupted', 'IllegalState', 'EOF', 'Authentication', 'EOF', 'EOF', 'IO', 'Authentication', 'Authentication', 'Authentication', 'EOF', 'EOF', 'Authentication', 'Authentication', 'Authentication', 'NullPointer', 'IllegalArgument', 'IllegalArgument', 'EOF', 'Duplications', 'Channel', 'IllegalState', 'Expected', 'SQL', 'Expected', 'SQL', 'Expected', 'SQL', 'Expected', 'UnsupportedOperation', 'Channel', 'Runtime', 'Runtime', 'Runtime', 'Runtime', 'IllegalState', 'Expected', 'IllegalArgument', 'Expected', 'Expected', 'IllegalArgument', 'Expected', 'NullPointer', 'Sonar', 'Runtime', 'Expected', 'Runtime', 'Expected', 'InstanceNotFound', 'Runtime', 'Runtime', 'Email', 'Expected', 'Messaging', 'Connect', 'SSLHandshake', 'Runtime', 'Runtime', 'Runtime', 'Runtime', 'IllegalArgument', 'Runtime', 'Elasticsearch', 'IllegalState', 'InvalidProtocolBuffer', 'Interrupted', 'set', 'IllegalArgument', 'IllegalArgument', 'RejectedExecution', 'RejectedExecution']","['Authentication', 'Authentication', 'Authentication', 'Authentication', 'Authentication', 'Authentication']",0.0,0.0,0.0,0.0,[]
9,245270668,WEB_TESTS,"['yarn', 'jest']",False,0.0,1.0,1.0,410.0,1365.0,[],[],0.0,0.0,0.0,0.0,[]
