,from_tag,to_tag,buildid
368,5.1.2,5.2,83735516
369,5.1.2,5.2,83772604
370,5.1.2,5.2,86346348
371,5.1.2,5.2,86352573
372,5.1.2,5.2,86355825
373,5.1.2,5.2,83951497
374,5.1.2,5.2,83980658
375,5.1.2,5.2,83988399
376,5.1.2,5.2,86359856
377,5.1.2,5.2,83139103
378,5.1.2,5.2,83139324
379,5.1.2,5.2,83142094
380,5.1.2,5.2,83183757
381,5.1.2,5.2,85351530
382,5.1.2,5.2,85356047
383,5.1.2,5.2,85476183
384,5.1.2,5.2,85322886
385,5.1.2,5.2,87465321
386,5.1.2,5.2,87618441
387,5.1.2,5.2,83062319
388,5.1.2,5.2,83081362
389,5.1.2,5.2,83096469
390,5.1.2,5.2,83105281
391,5.1.2,5.2,83074175
392,5.1.2,5.2,83084579
393,5.1.2,5.2,84876492
394,5.1.2,5.2,84064536
395,5.1.2,5.2,86418030
396,5.1.2,5.2,86618375
397,5.1.2,5.2,86640057
398,5.1.2,5.2,86647292
399,5.1.2,5.2,83722579
400,5.1.2,5.2,83727945
401,5.1.2,5.2,58906797
402,5.1.2,5.2,58775791
403,5.1.2,5.2,58248080
404,5.1.2,5.2,58290477
405,5.1.2,5.2,57458566
406,5.1.2,5.2,57490646
407,5.1.2,5.2,57498030
408,5.1.2,5.2,55928235
409,5.1.2,5.2,55959258
410,5.1.2,5.2,55959337
411,5.1.2,5.2,55976386
412,5.1.2,5.2,55188368
413,5.1.2,5.2,55193930
414,5.1.2,5.2,55194566
415,5.1.2,5.2,55507713
416,5.1.2,5.2,55765507
417,5.1.2,5.2,55798372
418,5.1.2,5.2,55799531
419,5.1.2,5.2,55208712
420,5.1.2,5.2,55460886
421,5.1.2,5.2,55462152
422,5.1.2,5.2,57033751
423,5.1.2,5.2,57034851
424,5.1.2,5.2,57495508
425,5.1.2,5.2,57612225
426,5.1.2,5.2,57652800
427,5.1.2,5.2,57497973
428,5.1.2,5.2,56884026
429,5.1.2,5.2,56907104
430,5.1.2,5.2,56936485
431,5.1.2,5.2,57000770
432,5.1.2,5.2,57028665
433,5.1.2,5.2,55929204
434,5.1.2,5.2,55675923
435,5.1.2,5.2,55765384
436,5.1.2,5.2,55821143
437,5.1.2,5.2,55152848
438,5.1.2,5.2,55066619
439,5.1.2,5.2,55069741
440,5.1.2,5.2,55076544
441,5.1.2,5.2,55096091
442,5.1.2,5.2,55097889
443,5.1.2,5.2,55101448
444,5.1.2,5.2,57446686
445,5.1.2,5.2,57037641
446,5.1.2,5.2,56078854
447,5.1.2,5.2,56114531
448,5.1.2,5.2,55010567
449,5.1.2,5.2,55020902
450,5.1.2,5.2,55179555
451,5.1.2,5.2,55019902
452,5.1.2,5.2,55022607
453,5.1.2,5.2,55139816
454,5.1.2,5.2,55140181
455,5.1.2,5.2,55004384
456,5.1.2,5.2,55037088
457,5.1.2,5.2,55048897
458,5.1.2,5.2,55055253
459,5.1.2,5.2,54834270
460,5.1.2,5.2,54846165
461,5.1.2,5.2,54851656
462,5.1.2,5.2,54860058
463,5.1.2,5.2,62397608
464,5.1.2,5.2,62401680
465,5.1.2,5.2,62420102
466,5.1.2,5.2,62423331
467,5.1.2,5.2,62701087
468,5.1.2,5.2,63448230
469,5.1.2,5.2,63481643
470,5.1.2,5.2,63486212
471,5.1.2,5.2,63493594
472,5.1.2,5.2,63495623
473,5.1.2,5.2,63495737
474,5.1.2,5.2,63510527
475,5.1.2,5.2,65529272
476,5.1.2,5.2,65216665
477,5.1.2,5.2,65222517
478,5.1.2,5.2,65362296
479,5.1.2,5.2,65362362
480,5.1.2,5.2,65213446
481,5.1.2,5.2,64095044
482,5.1.2,5.2,64099621
483,5.1.2,5.2,64117970
484,5.1.2,5.2,64118190
485,5.1.2,5.2,64214520
486,5.1.2,5.2,64225086
487,5.1.2,5.2,64227747
488,5.1.2,5.2,65081527
489,5.1.2,5.2,65085983
490,5.1.2,5.2,65090062
491,5.1.2,5.2,64050946
492,5.1.2,5.2,64053271
493,5.1.2,5.2,64420565
494,5.1.2,5.2,64558252
495,5.1.2,5.2,64566539
496,5.1.2,5.2,64566610
497,5.1.2,5.2,65107183
498,5.1.2,5.2,65208915
499,5.1.2,5.2,65211616
500,5.1.2,5.2,65211747
501,5.1.2,5.2,63673739
502,5.1.2,5.2,64057670
503,5.1.2,5.2,64066673
504,5.1.2,5.2,64066712
505,5.1.2,5.2,64069357
506,5.1.2,5.2,64080491
507,5.1.2,5.2,64554345
508,5.1.2,5.2,64874559
509,5.1.2,5.2,64877405
510,5.1.2,5.2,64881411
511,5.1.2,5.2,64881922
512,5.1.2,5.2,64098828
513,5.1.2,5.2,64102919
514,5.1.2,5.2,64089677
515,5.1.2,5.2,64222473
516,5.1.2,5.2,63298809
517,5.1.2,5.2,62390252
518,5.1.2,5.2,62390778
519,5.1.2,5.2,63918267
520,5.1.2,5.2,62388834
521,5.1.2,5.2,62662824
522,5.1.2,5.2,62671904
523,5.1.2,5.2,62674154
524,5.1.2,5.2,63622798
525,5.1.2,5.2,63916478
526,5.1.2,5.2,65217574
527,5.1.2,5.2,65049516
528,5.1.2,5.2,65209890
529,5.1.2,5.2,65113246
530,5.1.2,5.2,64227708
531,5.1.2,5.2,64230468
532,5.1.2,5.2,64230805
533,5.1.2,5.2,63301302
534,5.1.2,5.2,62387546
535,5.1.2,5.2,62406810
536,5.1.2,5.2,62407390
537,5.1.2,5.2,62986694
538,5.1.2,5.2,65246916
539,5.1.2,5.2,65259406
540,5.1.2,5.2,65371040
541,5.1.2,5.2,65046542
542,5.1.2,5.2,65055966
543,5.1.2,5.2,65057147
544,5.1.2,5.2,63290680
545,5.1.2,5.2,62392029
546,5.1.2,5.2,63171111
547,5.1.2,5.2,63171208
548,5.1.2,5.2,63138082
549,5.1.2,5.2,63166913
550,5.1.2,5.2,63652958
551,5.1.2,5.2,63925440
552,5.1.2,5.2,63940603
553,5.1.2,5.2,63941072
554,5.1.2,5.2,64267321
555,5.1.2,5.2,64383639
556,5.1.2,5.2,64387294
557,5.1.2,5.2,64941372
558,5.1.2,5.2,65049113
559,5.1.2,5.2,65072327
560,5.1.2,5.2,62387775
561,5.1.2,5.2,82108559
562,5.1.2,5.2,82111901
563,5.1.2,5.2,81580798
564,5.1.2,5.2,82526523
565,5.1.2,5.2,82536829
566,5.1.2,5.2,81593942
567,5.1.2,5.2,81605393
568,5.1.2,5.2,81608549
569,5.1.2,5.2,81356885
570,5.1.2,5.2,81360043
571,5.1.2,5.2,81360457
572,5.1.2,5.2,81546344
573,5.1.2,5.2,82100689
574,5.1.2,5.2,82123014
575,5.1.2,5.2,82170557
576,5.1.2,5.2,82182481
577,5.1.2,5.2,82506631
578,5.1.2,5.2,82905589
579,5.1.2,5.2,82940490
580,5.1.2,5.2,82175349
581,5.1.2,5.2,82696086
582,5.1.2,5.2,82700997
583,5.1.2,5.2,82721696
584,5.1.2,5.2,82723906
585,5.1.2,5.2,82729478
586,5.1.2,5.2,82739968
587,5.1.2,5.2,82740517
588,5.1.2,5.2,82765576
589,5.1.2,5.2,82898960
590,5.1.2,5.2,80865500
591,5.1.2,5.2,80652576
592,5.1.2,5.2,80781883
593,5.1.2,5.2,80978371
594,5.1.2,5.2,81013898
595,5.1.2,5.2,81014863
596,5.1.2,5.2,81015146
597,5.1.2,5.2,81966060
598,5.1.2,5.2,82511704
599,5.1.2,5.2,82514137
600,5.1.2,5.2,82521734
601,5.1.2,5.2,82528081
602,5.1.2,5.2,82528200
603,5.1.2,5.2,81385899
604,5.1.2,5.2,82113995
605,5.1.2,5.2,82131446
606,5.1.2,5.2,82136848
607,5.1.2,5.2,82549405
608,5.1.2,5.2,82685972
609,5.1.2,5.2,80221114
610,5.1.2,5.2,80225565
611,5.1.2,5.2,80401704
612,5.1.2,5.2,80403441
613,5.1.2,5.2,80410247
614,5.1.2,5.2,81342023
615,5.1.2,5.2,80988062
616,5.1.2,5.2,81626025
617,5.1.2,5.2,82124133
618,5.1.2,5.2,81604791
619,5.1.2,5.2,81404729
620,5.1.2,5.2,81406331
621,5.1.2,5.2,81564794
622,5.1.2,5.2,81571012
623,5.1.2,5.2,81579979
624,5.1.2,5.2,81580423
625,5.1.2,5.2,81581785
626,5.1.2,5.2,83062448
627,5.1.2,5.2,83072250
628,5.1.2,5.2,83110154
629,5.1.2,5.2,83115618
630,5.1.2,5.2,83127871
631,5.1.2,5.2,83258399
632,5.1.2,5.2,79287004
633,5.1.2,5.2,79420905
634,5.1.2,5.2,79440889
635,5.1.2,5.2,79442471
636,5.1.2,5.2,81344753
637,5.1.2,5.2,81347478
638,5.1.2,5.2,81018550
639,5.1.2,5.2,81943821
640,5.1.2,5.2,82116267
641,5.1.2,5.2,82124739
642,5.1.2,5.2,82145938
643,5.1.2,5.2,80617365
644,5.1.2,5.2,80633303
645,5.1.2,5.2,82168501
646,5.1.2,5.2,82181238
647,5.1.2,5.2,79625432
648,5.1.2,5.2,79627698
649,5.1.2,5.2,79656686
650,5.1.2,5.2,79668667
651,5.1.2,5.2,79672232
652,5.1.2,5.2,79677696
653,5.1.2,5.2,81543345
654,5.1.2,5.2,81543542
655,5.1.2,5.2,81578348
656,5.1.2,5.2,82507643
657,5.1.2,5.2,82575412
658,5.1.2,5.2,82685704
659,5.1.2,5.2,80655281
660,5.1.2,5.2,80783712
