,from_tag,to_tag,buildid
321,5.1.2,5.2,82136836
322,5.1.2,5.2,82136848
323,5.1.2,5.2,82136873
324,5.1.2,5.2,82145251
325,5.1.2,5.2,82145271
326,5.1.2,5.2,82145358
327,5.1.2,5.2,82145532
328,5.1.2,5.2,82145938
329,5.1.2,5.2,82145948
330,5.1.2,5.2,82145995
331,5.1.2,5.2,82149393
332,5.1.2,5.2,82160171
333,5.1.2,5.2,82166645
334,5.1.2,5.2,69934596
335,5.1.2,5.2,69934634
336,5.1.2,5.2,69972022
337,5.1.2,5.2,70019931
338,5.1.2,5.2,70021803
339,5.1.2,5.2,70027523
340,5.1.2,5.2,70027532
341,5.1.2,5.2,70029947
342,5.1.2,5.2,70051473
343,5.1.2,5.2,70055438
344,5.1.2,5.2,70067381
345,5.1.2,5.2,70068449
346,5.1.2,5.2,70070698
347,5.1.2,5.2,70080503
348,5.1.2,5.2,70080513
349,5.1.2,5.2,70085249
350,5.1.2,5.2,70085263
351,5.1.2,5.2,70090763
352,5.1.2,5.2,70090919
353,5.1.2,5.2,70090928
354,5.1.2,5.2,70136869
355,5.1.2,5.2,70173500
356,5.1.2,5.2,70181468
357,5.1.2,5.2,70181476
358,5.1.2,5.2,70181765
359,5.1.2,5.2,70182718
360,5.1.2,5.2,70184457
361,5.1.2,5.2,70190887
362,5.1.2,5.2,70191098
363,5.1.2,5.2,70191744
364,5.1.2,5.2,70198638
365,5.1.2,5.2,70199865
366,5.1.2,5.2,70200218
367,5.1.2,5.2,70213115
368,5.1.2,5.2,70216775
369,5.1.2,5.2,70217664
370,5.1.2,5.2,70218676
371,5.1.2,5.2,70224510
372,5.1.2,5.2,70225868
373,5.1.2,5.2,70228991
374,5.1.2,5.2,70240271
375,5.1.2,5.2,70240297
376,5.1.2,5.2,70248244
377,5.1.2,5.2,70255156
378,5.1.2,5.2,70256460
379,5.1.2,5.2,70256488
380,5.1.2,5.2,70256502
381,5.1.2,5.2,70371606
382,5.1.2,5.2,70372494
383,5.1.2,5.2,70372836
384,5.1.2,5.2,70372944
385,5.1.2,5.2,70373273
386,5.1.2,5.2,70373401
387,5.1.2,5.2,70373409
388,5.1.2,5.2,70374079
389,5.1.2,5.2,70374093
390,5.1.2,5.2,70374367
391,5.1.2,5.2,70374377
392,5.1.2,5.2,70379879
393,5.1.2,5.2,70379890
394,5.1.2,5.2,70387012
395,5.1.2,5.2,70390031
396,5.1.2,5.2,70391929
397,5.1.2,5.2,70391937
398,5.1.2,5.2,70393985
399,5.1.2,5.2,70393993
400,5.1.2,5.2,63171111
401,5.1.2,5.2,63171208
402,5.1.2,5.2,63171212
403,5.1.2,5.2,63171414
404,5.1.2,5.2,63190839
405,5.1.2,5.2,63191621
406,5.1.2,5.2,63195479
407,5.1.2,5.2,63199065
408,5.1.2,5.2,63212358
409,5.1.2,5.2,63215389
410,5.1.2,5.2,63290678
411,5.1.2,5.2,63290680
412,5.1.2,5.2,63290986
413,5.1.2,5.2,63292037
414,5.1.2,5.2,63295277
415,5.1.2,5.2,63295458
416,5.1.2,5.2,63298090
417,5.1.2,5.2,63298486
418,5.1.2,5.2,63298746
419,5.1.2,5.2,63298806
420,5.1.2,5.2,63298809
421,5.1.2,5.2,63298835
422,5.1.2,5.2,63299647
423,5.1.2,5.2,63300978
424,5.1.2,5.2,63301098
425,5.1.2,5.2,63301302
426,5.1.2,5.2,63302521
427,5.1.2,5.2,63306890
428,5.1.2,5.2,63314556
429,5.1.2,5.2,63321966
430,5.1.2,5.2,63328675
431,5.1.2,5.2,63328706
432,5.1.2,5.2,63331633
433,5.1.2,5.2,63339738
434,5.1.2,5.2,63345252
435,5.1.2,5.2,63346329
436,5.1.2,5.2,63346488
437,5.1.2,5.2,63398942
438,5.1.2,5.2,63400054
439,5.1.2,5.2,63401800
440,5.1.2,5.2,63403741
441,5.1.2,5.2,63405026
442,5.1.2,5.2,63448178
443,5.1.2,5.2,63448230
444,5.1.2,5.2,63449287
445,5.1.2,5.2,63458409
446,5.1.2,5.2,63460915
447,5.1.2,5.2,63464006
448,5.1.2,5.2,63464010
449,5.1.2,5.2,63465377
450,5.1.2,5.2,63481632
451,5.1.2,5.2,63481643
452,5.1.2,5.2,63486208
453,5.1.2,5.2,63486212
454,5.1.2,5.2,63493569
455,5.1.2,5.2,63493594
456,5.1.2,5.2,63495619
457,5.1.2,5.2,63495623
458,5.1.2,5.2,63495737
459,5.1.2,5.2,63495758
460,5.1.2,5.2,63496738
461,5.1.2,5.2,63497304
462,5.1.2,5.2,63497614
463,5.1.2,5.2,63506052
464,5.1.2,5.2,63510518
465,5.1.2,5.2,63510527
466,5.1.2,5.2,82902275
467,5.1.2,5.2,82905579
468,5.1.2,5.2,82905589
469,5.1.2,5.2,82908136
470,5.1.2,5.2,82908673
471,5.1.2,5.2,82914914
472,5.1.2,5.2,82917208
473,5.1.2,5.2,82925831
474,5.1.2,5.2,82928869
475,5.1.2,5.2,82931903
476,5.1.2,5.2,82933402
477,5.1.2,5.2,82938135
478,5.1.2,5.2,82939544
479,5.1.2,5.2,82940480
480,5.1.2,5.2,82940490
481,5.1.2,5.2,82942029
482,5.1.2,5.2,82947769
483,5.1.2,5.2,82950728
484,5.1.2,5.2,82954386
485,5.1.2,5.2,82958586
486,5.1.2,5.2,82962796
487,5.1.2,5.2,82966324
488,5.1.2,5.2,83002916
489,5.1.2,5.2,83062319
490,5.1.2,5.2,83062438
491,5.1.2,5.2,83062448
492,5.1.2,5.2,83066999
493,5.1.2,5.2,83072240
494,5.1.2,5.2,83072250
495,5.1.2,5.2,83074081
496,5.1.2,5.2,83074175
497,5.1.2,5.2,83075647
498,5.1.2,5.2,83076702
499,5.1.2,5.2,83078179
500,5.1.2,5.2,83078272
501,5.1.2,5.2,83078291
502,5.1.2,5.2,83081352
503,5.1.2,5.2,83081362
504,5.1.2,5.2,83084566
505,5.1.2,5.2,83084579
506,5.1.2,5.2,83084614
507,5.1.2,5.2,83085916
508,5.1.2,5.2,83085931
509,5.1.2,5.2,83088404
510,5.1.2,5.2,83088420
511,5.1.2,5.2,83095032
512,5.1.2,5.2,83095960
513,5.1.2,5.2,83096469
514,5.1.2,5.2,83096483
515,5.1.2,5.2,83098025
516,5.1.2,5.2,83098043
517,5.1.2,5.2,83098143
518,5.1.2,5.2,83105256
519,5.1.2,5.2,83105281
520,5.1.2,5.2,83105406
521,5.1.2,5.2,83110139
522,5.1.2,5.2,83110154
523,5.1.2,5.2,83115585
524,5.1.2,5.2,83115618
525,5.1.2,5.2,83121276
526,5.1.2,5.2,83127859
527,5.1.2,5.2,83127871
528,5.1.2,5.2,83137914
529,5.1.2,5.2,83139103
530,5.1.2,5.2,83139314
531,5.1.2,5.2,83139324
532,5.1.2,5.2,83142094
533,5.1.2,5.2,83142114
534,5.1.2,5.2,83142166
535,5.1.2,5.2,83145414
536,5.1.2,5.2,83183730
537,5.1.2,5.2,83183757
538,5.1.2,5.2,83183804
539,5.1.2,5.2,83185093
540,5.1.2,5.2,58872578
541,5.1.2,5.2,58876524
542,5.1.2,5.2,58877041
543,5.1.2,5.2,58890988
544,5.1.2,5.2,58901405
545,5.1.2,5.2,58903763
546,5.1.2,5.2,58906797
547,5.1.2,5.2,58915651
548,5.1.2,5.2,58915746
549,5.1.2,5.2,58916240
550,5.1.2,5.2,58916469
551,5.1.2,5.2,58919849
552,5.1.2,5.2,58929914
553,5.1.2,5.2,59204802
554,5.1.2,5.2,59210501
555,5.1.2,5.2,59215068
556,5.1.2,5.2,59235973
557,5.1.2,5.2,59236119
558,5.1.2,5.2,59239327
559,5.1.2,5.2,59262866
560,5.1.2,5.2,59263728
561,5.1.2,5.2,59353455
562,5.1.2,5.2,59353641
563,5.1.2,5.2,59353756
564,5.1.2,5.2,59353960
565,5.1.2,5.2,59358380
566,5.1.2,5.2,59361767
567,5.1.2,5.2,59380907
568,5.1.2,5.2,59384311
569,5.1.2,5.2,59392738
570,5.1.2,5.2,59392910
571,5.1.2,5.2,59396448
572,5.1.2,5.2,59400088
573,5.1.2,5.2,59414363
574,5.1.2,5.2,59414473
575,5.1.2,5.2,59416668
576,5.1.2,5.2,59416710
577,5.1.2,5.2,59510539
578,5.1.2,5.2,59517197
579,5.1.2,5.2,59518295
580,5.1.2,5.2,59519304
581,5.1.2,5.2,59519416
582,5.1.2,5.2,59520287
583,5.1.2,5.2,59526170
584,5.1.2,5.2,59527035
585,5.1.2,5.2,59529270
586,5.1.2,5.2,59539093
587,5.1.2,5.2,59539157
588,5.1.2,5.2,59541974
589,5.1.2,5.2,59543206
590,5.1.2,5.2,59544213
