,from_tag,to_tag,buildid
340,5.1.2,5.2,58609197
341,5.1.2,5.2,58620123
342,5.1.2,5.2,58712562
343,5.1.2,5.2,58712790
344,5.1.2,5.2,58713136
345,5.1.2,5.2,58730427
346,5.1.2,5.2,58733052
347,5.1.2,5.2,58742597
348,5.1.2,5.2,58742716
349,5.1.2,5.2,58743505
350,5.1.2,5.2,58745780
351,5.1.2,5.2,58751549
352,5.1.2,5.2,58751834
353,5.1.2,5.2,58761204
354,5.1.2,5.2,58765152
355,5.1.2,5.2,58775579
356,5.1.2,5.2,58780578
357,5.1.2,5.2,73854809
358,5.1.2,5.2,73859750
359,5.1.2,5.2,73859880
360,5.1.2,5.2,73860312
361,5.1.2,5.2,73876524
362,5.1.2,5.2,73879165
363,5.1.2,5.2,73929904
364,5.1.2,5.2,74012946
365,5.1.2,5.2,74013811
366,5.1.2,5.2,74019163
367,5.1.2,5.2,74035617
368,5.1.2,5.2,74049666
369,5.1.2,5.2,74054592
370,5.1.2,5.2,74055139
371,5.1.2,5.2,74057005
372,5.1.2,5.2,74067566
373,5.1.2,5.2,74186643
374,5.1.2,5.2,74218248
375,5.1.2,5.2,74219700
376,5.1.2,5.2,74220022
377,5.1.2,5.2,74245304
378,5.1.2,5.2,74277582
379,5.1.2,5.2,62059483
380,5.1.2,5.2,62060038
381,5.1.2,5.2,62060442
382,5.1.2,5.2,62071721
383,5.1.2,5.2,62071730
384,5.1.2,5.2,62075813
385,5.1.2,5.2,62095946
386,5.1.2,5.2,62098212
387,5.1.2,5.2,62101148
388,5.1.2,5.2,62101167
389,5.1.2,5.2,62145394
390,5.1.2,5.2,62208120
391,5.1.2,5.2,62208316
392,5.1.2,5.2,62208959
393,5.1.2,5.2,62222179
394,5.1.2,5.2,62227516
395,5.1.2,5.2,62229599
396,5.1.2,5.2,62236406
397,5.1.2,5.2,62238039
398,5.1.2,5.2,62238492
399,5.1.2,5.2,62248952
400,5.1.2,5.2,62355383
401,5.1.2,5.2,62358184
402,5.1.2,5.2,62362301
403,5.1.2,5.2,62363389
404,5.1.2,5.2,62364806
405,5.1.2,5.2,62371751
406,5.1.2,5.2,62387342
407,5.1.2,5.2,87489236
408,5.1.2,5.2,87548857
409,5.1.2,5.2,87618431
410,5.1.2,5.2,87618575
411,5.1.2,5.2,87619271
412,5.1.2,5.2,87619332
413,5.1.2,5.2,87620191
414,5.1.2,5.2,87624650
415,5.1.2,5.2,87627768
416,5.1.2,5.2,87645515
417,5.1.2,5.2,87652485
418,5.1.2,5.2,87675789
419,5.1.2,5.2,87675947
420,5.1.2,5.2,87881640
421,5.1.2,5.2,82173529
422,5.1.2,5.2,82174334
423,5.1.2,5.2,82175405
424,5.1.2,5.2,82175444
425,5.1.2,5.2,82181227
426,5.1.2,5.2,82181262
427,5.1.2,5.2,82245034
428,5.1.2,5.2,82399610
429,5.1.2,5.2,82400826
430,5.1.2,5.2,82409525
431,5.1.2,5.2,82413490
432,5.1.2,5.2,82449668
433,5.1.2,5.2,82459626
434,5.1.2,5.2,82506595
435,5.1.2,5.2,82506647
436,5.1.2,5.2,82515261
437,5.1.2,5.2,82518497
438,5.1.2,5.2,82524791
439,5.1.2,5.2,82526136
440,5.1.2,5.2,82527652
441,5.1.2,5.2,82528171
442,5.1.2,5.2,82528323
443,5.1.2,5.2,82528941
444,5.1.2,5.2,82530542
445,5.1.2,5.2,82531588
446,5.1.2,5.2,82531696
447,5.1.2,5.2,82536064
448,5.1.2,5.2,82536816
449,5.1.2,5.2,82537472
450,5.1.2,5.2,82538306
451,5.1.2,5.2,82546233
452,5.1.2,5.2,82549443
453,5.1.2,5.2,82554511
454,5.1.2,5.2,71397914
455,5.1.2,5.2,71417797
456,5.1.2,5.2,71418888
457,5.1.2,5.2,71422540
458,5.1.2,5.2,71423398
459,5.1.2,5.2,71428817
460,5.1.2,5.2,71438938
461,5.1.2,5.2,71438958
462,5.1.2,5.2,71838038
463,5.1.2,5.2,71848076
464,5.1.2,5.2,71896045
465,5.1.2,5.2,71896672
466,5.1.2,5.2,71902308
467,5.1.2,5.2,71917301
468,5.1.2,5.2,71918989
469,5.1.2,5.2,71924726
470,5.1.2,5.2,71925454
471,5.1.2,5.2,71926709
472,5.1.2,5.2,71945340
473,5.1.2,5.2,71951483
474,5.1.2,5.2,82566364
475,5.1.2,5.2,82566423
476,5.1.2,5.2,82568324
477,5.1.2,5.2,82593262
478,5.1.2,5.2,82635398
479,5.1.2,5.2,82685694
480,5.1.2,5.2,82685956
481,5.1.2,5.2,82686510
482,5.1.2,5.2,82690278
483,5.1.2,5.2,82691702
484,5.1.2,5.2,82693226
485,5.1.2,5.2,82699698
486,5.1.2,5.2,82703051
487,5.1.2,5.2,82705528
488,5.1.2,5.2,82706504
489,5.1.2,5.2,82706973
490,5.1.2,5.2,82721018
491,5.1.2,5.2,82721335
492,5.1.2,5.2,82723800
493,5.1.2,5.2,82727209
494,5.1.2,5.2,82736032
495,5.1.2,5.2,82736708
496,5.1.2,5.2,82750110
497,5.1.2,5.2,82754902
498,5.1.2,5.2,82757801
499,5.1.2,5.2,82764180
500,5.1.2,5.2,82793323
501,5.1.2,5.2,82797197
502,5.1.2,5.2,82799641
503,5.1.2,5.2,82817772
504,5.1.2,5.2,82821160
505,5.1.2,5.2,82825517
506,5.1.2,5.2,82885334
507,5.1.2,5.2,82886089
508,5.1.2,5.2,82886299
509,5.1.2,5.2,82893293
510,5.1.2,5.2,82897542
511,5.1.2,5.2,63519747
512,5.1.2,5.2,63607941
513,5.1.2,5.2,63609314
514,5.1.2,5.2,63614503
515,5.1.2,5.2,63614871
516,5.1.2,5.2,63616410
517,5.1.2,5.2,63619449
518,5.1.2,5.2,63642650
519,5.1.2,5.2,63651860
520,5.1.2,5.2,63654170
521,5.1.2,5.2,63916475
522,5.1.2,5.2,63916847
523,5.1.2,5.2,63918262
524,5.1.2,5.2,63918758
525,5.1.2,5.2,63923617
526,5.1.2,5.2,63941070
527,5.1.2,5.2,63941496
528,5.1.2,5.2,63947314
529,5.1.2,5.2,63951542
530,5.1.2,5.2,63968525
531,5.1.2,5.2,63971937
532,5.1.2,5.2,64049246
533,5.1.2,5.2,64053269
534,5.1.2,5.2,64056288
535,5.1.2,5.2,64057259
536,5.1.2,5.2,64063938
537,5.1.2,5.2,64065840
538,5.1.2,5.2,64070308
539,5.1.2,5.2,64080501
540,5.1.2,5.2,64080511
541,5.1.2,5.2,64082702
542,5.1.2,5.2,64084430
543,5.1.2,5.2,64090450
544,5.1.2,5.2,64090452
545,5.1.2,5.2,69422543
546,5.1.2,5.2,69424457
547,5.1.2,5.2,69425704
548,5.1.2,5.2,69430924
549,5.1.2,5.2,69432909
550,5.1.2,5.2,69441233
551,5.1.2,5.2,69445897
552,5.1.2,5.2,69462284
553,5.1.2,5.2,69546049
554,5.1.2,5.2,69689683
555,5.1.2,5.2,69702176
556,5.1.2,5.2,69716460
557,5.1.2,5.2,69719517
558,5.1.2,5.2,69721550
559,5.1.2,5.2,69726673
560,5.1.2,5.2,69728382
561,5.1.2,5.2,69729206
562,5.1.2,5.2,69730522
563,5.1.2,5.2,69742836
564,5.1.2,5.2,69744617
565,5.1.2,5.2,69747123
566,5.1.2,5.2,69748224
567,5.1.2,5.2,69751141
568,5.1.2,5.2,69757217
569,5.1.2,5.2,69761001
570,5.1.2,5.2,69850983
571,5.1.2,5.2,69854698
572,5.1.2,5.2,69856976
573,5.1.2,5.2,69859001
574,5.1.2,5.2,69864569
575,5.1.2,5.2,69869148
576,5.1.2,5.2,69873832
577,5.1.2,5.2,69873972
578,5.1.2,5.2,69874913
579,5.1.2,5.2,69878667
580,5.1.2,5.2,69883805
581,5.1.2,5.2,69892426
582,5.1.2,5.2,69920911
583,5.1.2,5.2,83257575
