,from_tag,to_tag,job_id
235,5.1.2,5.2,74219702
236,5.1.2,5.2,74219703
237,5.1.2,5.2,74219704
238,5.1.2,5.2,74219705
239,5.1.2,5.2,74219706
240,5.1.2,5.2,74219707
241,5.1.2,5.2,74219708
242,5.1.2,5.2,74219709
243,5.1.2,5.2,74219710
244,5.1.2,5.2,74219711
245,5.1.2,5.2,79130522
246,5.1.2,5.2,79130524
247,5.1.2,5.2,79130525
248,5.1.2,5.2,79130526
249,5.1.2,5.2,79130527
250,5.1.2,5.2,79130528
251,5.1.2,5.2,79130529
252,5.1.2,5.2,79130530
253,5.1.2,5.2,79130532
254,5.1.2,5.2,74239278
255,5.1.2,5.2,74239279
256,5.1.2,5.2,74239280
257,5.1.2,5.2,74239281
258,5.1.2,5.2,74239284
259,5.1.2,5.2,74239286
260,5.1.2,5.2,74239287
261,5.1.2,5.2,74239288
262,5.1.2,5.2,74239290
263,5.1.2,5.2,74239291
264,5.1.2,5.2,74239292
265,5.1.2,5.2,74242464
266,5.1.2,5.2,74242466
267,5.1.2,5.2,74242468
268,5.1.2,5.2,74242470
269,5.1.2,5.2,74242472
270,5.1.2,5.2,74242473
271,5.1.2,5.2,74242474
272,5.1.2,5.2,74242475
273,5.1.2,5.2,74242476
274,5.1.2,5.2,74242477
275,5.1.2,5.2,74242478
276,5.1.2,5.2,74371074
277,5.1.2,5.2,74371075
278,5.1.2,5.2,74371076
279,5.1.2,5.2,74371077
280,5.1.2,5.2,74371078
281,5.1.2,5.2,74371079
282,5.1.2,5.2,74371080
283,5.1.2,5.2,74371081
284,5.1.2,5.2,74371082
285,5.1.2,5.2,74371083
286,5.1.2,5.2,74371084
287,5.1.2,5.2,74393329
288,5.1.2,5.2,74393330
289,5.1.2,5.2,74393331
290,5.1.2,5.2,74393332
291,5.1.2,5.2,74393333
292,5.1.2,5.2,74393334
293,5.1.2,5.2,74393335
294,5.1.2,5.2,74393336
295,5.1.2,5.2,74393337
296,5.1.2,5.2,74393338
297,5.1.2,5.2,74393339
298,5.1.2,5.2,74396911
299,5.1.2,5.2,74396913
300,5.1.2,5.2,74396914
301,5.1.2,5.2,74396915
302,5.1.2,5.2,74396916
303,5.1.2,5.2,74396917
304,5.1.2,5.2,74396918
305,5.1.2,5.2,74396919
306,5.1.2,5.2,74396920
307,5.1.2,5.2,74396921
308,5.1.2,5.2,74396926
309,5.1.2,5.2,73891574
310,5.1.2,5.2,73891575
311,5.1.2,5.2,73891576
312,5.1.2,5.2,73891577
313,5.1.2,5.2,73891578
314,5.1.2,5.2,73891579
315,5.1.2,5.2,73891580
316,5.1.2,5.2,73891581
317,5.1.2,5.2,73891582
318,5.1.2,5.2,73891583
319,5.1.2,5.2,73891584
320,5.1.2,5.2,73913147
321,5.1.2,5.2,73913148
322,5.1.2,5.2,73913149
323,5.1.2,5.2,73913150
324,5.1.2,5.2,73913151
325,5.1.2,5.2,73913152
326,5.1.2,5.2,73913153
