,pr_number,title,base_sha,head_sha
297,2233,Improve compatibility of Selenese tests with Chrome,440277273355aa69d0df7996d6135f1e2fa7b7bf,14c0322cb06bc815d753621a77ce5230f47c8e01
298,2242,Understand history project : apply feedbacks ,3594c3ee2ee2ccecb906ab659eed150f458df4b3,e453697bc191500aa586afbd54f0b783e38bc80c
299,2216,SONAR-9506 Use InputFile::charset to display source code in HTML report,903e15d3f41f5dd9c10f9b95fb75e446122af163,4d40d16a532b27760f4bec60541b94e9d8b9e2c4
300,812,SONAR-7342 Add remediation effort characteristic metrics,6368d2292614f67492fb28ff5486b7aa3ef6c699,2f673fadf8a1b90eaee9045a57fc5f46fed10935
301,825,"SONAR-7453 Rename rules fields ""effort_to_fix_description"", ""coefficient"" and ""offset",3e81655d523661ee43318d2a9f285b7b710528f2,b669aac1e3848a1e4c945c0ab09591a6171a8b5a
302,819,Drop deprecated class SearchClient,c74ef8d9e7ff550e19b94e0edc9b0eb1357451c7,3dbadb60d48700f4628ff3c68d24734a5442d4b4
303,840,New CPD API,c189245cda6020e46179bb1d0c9f54497440883b,9cf13638be2e9d4a257183378a948554644079d5
304,803,"SONAR-7101 deprecate common rule ""skipped unit tests""",cabf4e94cb5974788fda7a6881ec5876d777a84b,bce02e639356c0ff9f798987a0ba49b5b0cc2a63
305,806,SONAR-7391 Drop unused DB index DUPLICATIONS_INDEX_PSID,cabf4e94cb5974788fda7a6881ec5876d777a84b,06e892056c1bd843c6c450ed5b71cad33c339270
306,822,SONAR-7364 remove SQALE characteristics from scanner API,f6f9a0dc46adadbdbf32cecc30bfb731a4b854f8,e68b5bc0fd5606b5d4f1e598bc4114b4486c1980
307,847,SONAR-7371 Remove inherited properties from analysis.log,4dab73425fa2416d7b64225e66c4c93b3afd2a70,39494a3895c43b1b00768e7f3a23633d93491e22
308,833,SONAR-7196 WS api/measures/component_tree supports sorting by period variation,e49268378aba0cd00d59a9356eb9d59c60aa08f7,8d419619e3e8bfa89354e99cf90cc1a5e8ebbc46
309,809,Add missing Javadoc,50cc345d65a5efa7321def634af7b1af130a5990,07ff21962a96e3e376a89075adc91d637c1b8994
310,813,Search components with at least 3 characters,8de7cbc9b0565e43a17bdbf2b0fc886a3c248c4f,87c893644c6faf03c55e8dbcd45757d77e98def0
311,843,SONAR-7200 WS api/issues/search filter issues on leak period,c189245cda6020e46179bb1d0c9f54497440883b,5181739f14bd4d4852705ef8c9d5ee1bc6405318
312,821,Upgrade Apache Commons Collections to v3.2.2,c74ef8d9e7ff550e19b94e0edc9b0eb1357451c7,0d6d00efa126daa6b4b0d96c6b137eace6333b0b
313,839,SONAR-7458 API to get runtime version of SonarQube,4bc2b8da3227c3aee75248ee9ee178875e49d386,2633056eca712df9fb1dc14cccbc02eafdb50e42
314,815,"SONAR-7330 When searching active rules by profile, ignore active rule on removed rules",1b239a703582f3f95fcb220dbb9f13b25a00811e,2593c337e721282228699637692c6a80fd2871e7
315,835,SONAR-7260 Fail fast if version of database is not supported,517952eac96b481e84774ffe11c394d6bb7e9ceb,99c9bdf1c77ce54f821ec11fff4d7e164791f692
316,830,"SONAR-7429 Should be possible to specify ""https.proxyHost"" and ""https.proxyPort"" in ""conf/sonar.properties""",26a602cad2459fdabe6c68cdbeba06f6efb07500,0de70e58cb3276ddd4d508536d61c6937083b5fa
