,issue_id,version_name,version_id
295,75253,7.2,14213
296,75162,7.2,14213
297,75055,7.2,14213
298,74998,5.6.3,13420
299,74964,7.2,14213
300,74561,7.2,14213
301,74435,7.1,14178
302,74420,7.3,14464
303,74366,7.2,14213
304,74268,7.2,14213
305,74238,7.2,14213
306,74214,7.2,14213
307,74113,6.7.1,14137
308,74078,7.2,14213
309,74024,7.2,14213
310,74006,7.2,14213
311,74004,7.2,14213
312,73959,7.2,14213
313,73900,7.2,14213
314,72175,7.1,14178
315,70519,7.0,14041
316,73775,6.7,13972
317,73775,7.1,14178
318,73581,6.7,13972
319,73486,7.1,14178
320,73425,7.1,14178
321,73398,7.2,14213
322,73314,6.7.3,14264
323,73201,5.6.7,13778
324,73201,6.7.4,14377
325,73201,7.1,14178
326,73162,6.7,13972
327,73129,6.7,13972
328,73129,7.1,14178
329,73116,6.7,13972
330,73116,7.1,14178
331,73038,7.4,14549
332,72928,7.0,14041
333,71937,7.1,14178
334,71489,7.1,14178
335,48664,6.7,13972
336,48677,6.7,13972
337,69913,7.0,14041
338,71936,7.1,14178
339,72807,6.7.3,14264
340,72807,7.1,14178
341,72800,6.7.3,14264
342,72780,7.1,14178
343,72714,6.7,13972
344,72714,7.0,14041
345,72714,7.1,14178
346,72638,7.1,14178
347,72569,7.1,14178
348,72509,6.7,13972
349,72509,7.0,14041
350,72509,7.1,14178
351,72075,7.1,14178
352,71970,6.4,13697
353,71900,6.7,13972
354,71731,7.2,14213
355,71484,7.2,14213
356,71465,7.1,14178
357,71463,7.1,14178
358,71432,6.7.3,14264
359,71409,7.1,14178
360,71357,6.7,13972
361,71357,6.7.3,14264
362,71356,7.0,14041
363,71349,6.7.2,14191
364,71303,7.0,14041
365,71270,6.2,13327
366,71158,7.1,14178
367,70943,7.0,14041
368,70861,7.0,14041
369,70832,6.7,13972
370,70517,7.0,14041
371,70516,7.0,14041
372,70515,6.7,13972
373,70300,6.7.2,14191
374,70300,7.0,14041
375,70010,7.1,14178
376,70006,7.1,14178
377,70004,7.1,14178
378,69914,7.0,14041
379,69835,7.0,14041
380,69834,6.7,13972
381,69829,6.7,13972
382,69819,7.0,14041
383,69555,6.7,13972
384,69280,6.7,13972
385,69201,6.7,13972
386,69201,6.7.1,14137
387,69196,6.3,13470
388,69191,6.3,13470
389,69023,6.7,13972
390,68976,7.0,14041
391,68890,6.7.1,14137
392,68888,7.0,14041
393,68874,6.7.1,14137
394,68631,6.7,13972
395,68586,6.7.1,14137
396,68469,6.7,13972
397,68468,5.6,12869
398,68468,6.7,13972
399,68403,6.7,13972
400,68323,6.7,13972
401,68323,6.7.1,14137
402,68281,6.7.1,14137
403,68183,6.7,13972
404,68133,7.0,14041
405,68128,6.7.1,14137
406,68105,6.4,13697
407,68069,6.7,13972
408,68029,6.7,13972
409,68029,6.7.1,14137
410,67969,6.7,13972
411,67969,6.7.1,14137
412,67909,7.0,14041
413,67831,6.7,13972
414,67807,6.4,13697
415,67807,6.5,13805
416,67807,6.6,13961
417,67807,6.7,13972
418,67783,6.6,13961
419,67704,6.7,13972
420,67592,6.7,13972
421,67579,5.6,12869
422,67571,6.7,13972
423,67477,6.7,13972
424,67477,7.0,14041
425,67474,6.7,13972
426,67474,7.0,14041
427,67465,6.7,13972
428,67378,6.7,13972
429,67246,6.7,13972
430,67220,6.7,13972
431,67122,6.7,13972
432,67121,6.0,13026
433,67072,6.7,13972
434,67051,6.5,13805
435,67028,6.7,13972
436,67025,7.0,14041
437,67007,6.7,13972
438,66864,6.7,13972
439,66858,6.7,13972
440,66794,6.5,13805
441,66794,6.6,13961
442,66794,6.7,13972
443,66793,6.7,13972
444,66792,6.7,13972
445,66773,6.7,13972
446,66704,6.7,13972
447,66702,6.7,13972
448,66592,6.7,13972
449,66569,6.7,13972
450,66562,6.7,13972
451,66560,6.7,13972
452,66380,6.7,13972
453,66093,6.6,13961
454,65935,6.6,13961
455,65918,6.6,13961
456,65905,6.6,13961
457,65850,6.6,13961
458,65845,6.6,13961
459,65733,6.6,13961
460,65703,6.6,13961
461,65677,6.6,13961
462,65669,6.6,13961
463,65644,6.6,13961
464,65643,6.6,13961
465,65635,6.6,13961
466,65543,5.6.7,13778
467,65543,6.5,13805
468,65531,6.5,13805
469,65466,6.2,13327
470,65466,6.6-M1,14014
471,65416,6.6,13961
472,65389,6.5,13805
473,65376,6.6,13961
474,65372,6.6,13961
475,65370,6.6,13961
476,65320,5.6.6,13718
477,65197,5.6.7,13778
478,65197,6.5,13805
479,65171,6.3.1,13767
480,65144,5.6.6,13718
481,65144,6.5,13805
482,65099,6.5,13805
483,65012,5.6.6,13718
484,65001,6.6,13961
485,64922,5.6,12869
486,64912,6.4,13697
487,64911,6.6-M1,14014
488,64563,6.5,13805
489,64560,6.5,13805
490,64532,6.5,13805
491,64303,6.5,13805
492,64296,6.3,13470
493,64193,6.3,13470
494,64193,6.4,13697
495,64193,6.5,13805
496,64192,5.6.6,13718
497,64192,6.5,13805
498,64105,6.5,13805
499,63979,6.5,13805
500,63977,6.5,13805
501,63975,6.5,13805
502,63967,6.5,13805
503,63926,6.5,13805
504,63866,6.5,13805
