,issue_id,fixVersion_name,fixVersion_id
1536,69890,7.2,14213
1537,68550,7.8,14939
1538,61538,7.8,14939
1539,64149,7.8,14939
1540,69913,7.7,14848
1541,71902,7.3,14464
1542,71936,7.2,14213
1543,72913,7.2,14213
1544,72812,7.2,14213
1545,72807,7.2,14213
1546,72800,7.2,14213
1547,72780,7.2,14213
1548,72778,7.4,14549
1549,72769,7.2,14213
1550,72742,7.2,14213
1551,72734,7.2,14213
1552,72733,7.2,14213
1553,72718,7.2,14213
1554,72714,6.7.4,14377
1555,72714,7.2,14213
1556,72709,7.2,14213
1557,72708,7.2,14213
1558,72707,7.2,14213
1559,72706,7.2,14213
1560,72704,7.2,14213
1561,72656,7.2,14213
1562,72638,7.2,14213
1563,72635,7.2,14213
1564,72594,7.3,14464
1565,72569,7.2,14213
1566,72549,7.4,14549
1567,72548,7.4,14549
1568,72547,7.3,14464
1569,72545,7.2,14213
1570,72544,7.2,14213
1571,72543,7.2,14213
1572,72542,7.2,14213
1573,72538,7.2,14213
1574,72537,7.2,14213
1575,72519,7.2,14213
1576,72509,7.2,14213
1577,72505,7.3,14464
1578,72482,7.2,14213
1579,72333,7.2,14213
1580,72308,7.2,14213
1581,72239,6.7.4,14377
1582,72239,7.2,14213
1583,72225,7.2,14213
1584,72219,6.7.4,14377
1585,72219,7.2,14213
1586,72134,7.2,14213
1587,72114,7.2,14213
1588,72086,7.2,14213
1589,72075,7.2,14213
1590,71999,7.6,14753
1591,71970,6.7.4,14377
1592,71970,7.2,14213
1593,71966,7.2,14213
1594,71940,7.2,14213
1595,71915,7.2,14213
1596,71900,7.4,14549
1597,71871,7.5,14693
1598,71864,7.2,14213
1599,71863,7.2,14213
1600,71862,7.2,14213
1601,71847,7.2,14213
1602,71844,7.2,14213
1603,71843,7.2,14213
1604,71842,7.2,14213
1605,71839,7.2,14213
1606,71838,7.2,14213
1607,71835,7.2,14213
1608,71834,7.2,14213
1609,71831,7.2,14213
1610,71829,7.2,14213
1611,71828,7.2,14213
1612,71798,7.2,14213
1613,71797,7.2,14213
1614,71796,7.2,14213
1615,71795,7.2,14213
1616,71794,7.2,14213
1617,71748,6.7.4,14377
1618,71748,7.2,14213
1619,71746,6.7.4,14377
1620,71746,7.2,14213
1621,71721,7.2,14213
1622,71719,7.2,14213
1623,71675,7.2,14213
1624,71662,7.2,14213
1625,71657,7.2,14213
1626,71656,7.2,14213
1627,71655,7.2,14213
1628,71645,7.2,14213
1629,71644,7.2,14213
1630,71643,7.2,14213
1631,71639,7.2,14213
1632,71566,7.2,14213
1633,71563,7.2,14213
1634,71554,7.2,14213
1635,71551,7.2,14213
1636,71497,7.2,14213
1637,71494,7.2,14213
1638,64301,7.4,14549
1639,71475,7.2,14213
1640,71465,7.2,14213
1641,71463,7.2,14213
1642,71455,7.2,14213
1643,71450,7.2,14213
1644,71432,6.7.4,14377
1645,71432,7.2,14213
1646,71409,7.2,14213
1647,71384,7.2,14213
1648,71357,6.7.4,14377
1649,71357,7.2,14213
1650,71351,7.2,14213
1651,71350,7.1,14178
1652,71345,7.1,14178
1653,71344,8.5,16342
1654,71337,7.2,14213
1655,71326,7.4,14549
1656,71321,7.2,14213
1657,71318,7.2,14213
1658,71303,7.1,14178
1659,71302,7.2,14213
1660,71300,7.2,14213
1661,71290,7.2,14213
1662,71289,7.2,14213
1663,71286,7.2,14213
1664,71270,7.2,14213
1665,71250,7.4,14549
1666,71158,7.1,14178
1667,71143,6.7.3,14264
1668,71143,7.1,14178
1669,71034,7.2,14213
1670,70994,7.2,14213
1671,70993,7.2,14213
1672,70988,7.2,14213
1673,70954,7.2,14213
1674,70952,7.3,14464
1675,70943,6.7.3,14264
1676,70943,7.1,14178
1677,70924,7.1,14178
1678,70918,7.1,14178
1679,70882,6.7.3,14264
1680,70882,7.1,14178
1681,70861,7.1,14178
1682,70832,6.7.3,14264
1683,70832,7.1,14178
1684,70814,7.1,14178
1685,70799,7.1,14178
1686,70780,7.7,14848
1687,70773,7.1,14178
1688,70652,7.1,14178
1689,70517,7.1,14178
