,from_tag,to_tag,ahead_by,behind_by
691,3.0,3.1,347,1
692,2.9,3.1,1884,0
693,2.8,3.1,2080,0
694,2.13,3.1,977,11
695,2.7,3.1,2352,0
696,3.2,3.1,0,372
697,2.13.1,3.1,977,14
698,3.1.1,3.1,0,3
699,2.6,3.1,2487,0
700,5.5-M1,5.5-M13,594,0
701,5.5-M5,5.5-M13,501,0
702,5.5-M12,5.5-M13,7,0
703,5.5-M7,5.5-M13,363,0
704,5.5-RC2,5.5-M13,0,114
705,5.5-M10,5.5-M13,241,0
706,5.5-M4,5.5-M13,528,0
707,5.5-RC1,5.5-M13,0,50
708,5.5-M2,5.5-M13,562,0
709,5.5-M11,5.5-M13,82,0
710,5.5,5.5-M13,0,117
711,5.5-M3,5.5-M13,556,0
712,5.5-M6,5.5-M13,387,0
713,5.5-M14,5.5-M13,0,13
714,5.6.7,5.6.5,0,13
715,5.5,5.6.5,447,0
716,5.6.6,5.6.5,0,3
717,5.6.4,5.6.5,11,0
718,5.6,5.6.5,98,0
719,6.0-RC2,5.6.5,68,468
720,5.6-RC1,5.6.5,129,0
721,5.6-RC2,5.6.5,105,0
