,from_tag,from_sha,to_sha,ahead_by,behind_by,to_tag
1984,5.4-M2,d7ea0a8b14b8649144f7bfbff055f207d954d6c9,162d76a0e6964f1d42069b42ce0362fedd151f75,140,0,5.4-M8
1985,5.3,8db783e62b266eeb0d0b10dc050a7ca50e96c5d1,162d76a0e6964f1d42069b42ce0362fedd151f75,184,0,5.4-M8
1986,5.3-RC3,e735681d1b11ff0e90c254a3b5302e290ffa05a6,162d76a0e6964f1d42069b42ce0362fedd151f75,186,0,5.4-M8
1987,5.3-RC2,29a84111f6cc9298f83df515830ff40a41d0976c,162d76a0e6964f1d42069b42ce0362fedd151f75,193,0,5.4-M8
1988,5.3-RC1,c979578645aaf77c447b250136db32a7067619a1,162d76a0e6964f1d42069b42ce0362fedd151f75,233,1,5.4-M8
1989,5.4-RC1,6bb02b28a33282bda2b9ed6bc995a4aee68ff172,366217e521da38a4b17f7e6ada0f4d6612475580,0,244,5.4-M7
1990,5.4-M14,df6129a0913277db1ec8f8ac4b9cc0303b8c9c25,366217e521da38a4b17f7e6ada0f4d6612475580,0,247,5.4-M7
1991,5.4-M1,df6129a0913277db1ec8f8ac4b9cc0303b8c9c25,366217e521da38a4b17f7e6ada0f4d6612475580,0,247,5.4-M7
1992,5.4-M13,27858608f46ae9f1cd2c2269151e68f56f882417,366217e521da38a4b17f7e6ada0f4d6612475580,0,222,5.4-M7
1993,5.4-M12,ca8c711145a11e61a3c6571cef38cf8d53b5d423,366217e521da38a4b17f7e6ada0f4d6612475580,0,194,5.4-M7
1994,5.4-M11,84d4f441879de01734bb9041fc0cdfbd461386ee,366217e521da38a4b17f7e6ada0f4d6612475580,0,133,5.4-M7
1995,5.4-M10,bea2847df13b73c7364193419873e3e8b47b5b73,366217e521da38a4b17f7e6ada0f4d6612475580,0,96,5.4-M7
1996,5.4-M9,ed6f219718bdc9c6435e0cd32e4aa81d558fc302,366217e521da38a4b17f7e6ada0f4d6612475580,0,60,5.4-M7
1997,5.4-M8,162d76a0e6964f1d42069b42ce0362fedd151f75,366217e521da38a4b17f7e6ada0f4d6612475580,0,23,5.4-M7
1998,5.4-M6,868e4d9403268e0f17235e1993496e92cb8883be,366217e521da38a4b17f7e6ada0f4d6612475580,5,0,5.4-M7
1999,5.4-M5,0ad061c6a5c6a0e1c84511b1a2eb7db2f6764e35,366217e521da38a4b17f7e6ada0f4d6612475580,20,0,5.4-M7
2000,5.4-M4,eaf7b87bb681e86ebef1778039de929c211b1f99,366217e521da38a4b17f7e6ada0f4d6612475580,60,0,5.4-M7
2001,5.4-M3,0fddc5fa4ea33882b60e072eee51f0e1ea585b4c,366217e521da38a4b17f7e6ada0f4d6612475580,100,0,5.4-M7
2002,5.4-M2,d7ea0a8b14b8649144f7bfbff055f207d954d6c9,366217e521da38a4b17f7e6ada0f4d6612475580,117,0,5.4-M7
2003,5.3,8db783e62b266eeb0d0b10dc050a7ca50e96c5d1,366217e521da38a4b17f7e6ada0f4d6612475580,161,0,5.4-M7
2004,5.3-RC3,e735681d1b11ff0e90c254a3b5302e290ffa05a6,366217e521da38a4b17f7e6ada0f4d6612475580,163,0,5.4-M7
2005,5.3-RC2,29a84111f6cc9298f83df515830ff40a41d0976c,366217e521da38a4b17f7e6ada0f4d6612475580,170,0,5.4-M7
2006,5.3-RC1,c979578645aaf77c447b250136db32a7067619a1,366217e521da38a4b17f7e6ada0f4d6612475580,210,1,5.4-M7
2007,5.2,f045be98be3ba032b6b19d71574038eeeb91803b,366217e521da38a4b17f7e6ada0f4d6612475580,722,0,5.4-M7
2008,5.2-RC3,ef358b002383f918448dcb5e8ac40b64a35a4c26,366217e521da38a4b17f7e6ada0f4d6612475580,753,0,5.4-M7
2009,5.4-RC1,6bb02b28a33282bda2b9ed6bc995a4aee68ff172,0ad061c6a5c6a0e1c84511b1a2eb7db2f6764e35,0,264,5.4-M5
2010,5.4-M13,27858608f46ae9f1cd2c2269151e68f56f882417,0ad061c6a5c6a0e1c84511b1a2eb7db2f6764e35,0,242,5.4-M5
2011,5.4-M12,ca8c711145a11e61a3c6571cef38cf8d53b5d423,0ad061c6a5c6a0e1c84511b1a2eb7db2f6764e35,0,214,5.4-M5
2012,5.4-M11,84d4f441879de01734bb9041fc0cdfbd461386ee,0ad061c6a5c6a0e1c84511b1a2eb7db2f6764e35,0,153,5.4-M5
2013,5.4-M10,bea2847df13b73c7364193419873e3e8b47b5b73,0ad061c6a5c6a0e1c84511b1a2eb7db2f6764e35,0,116,5.4-M5
2014,5.4-M9,ed6f219718bdc9c6435e0cd32e4aa81d558fc302,0ad061c6a5c6a0e1c84511b1a2eb7db2f6764e35,0,80,5.4-M5
2015,5.4-M8,162d76a0e6964f1d42069b42ce0362fedd151f75,0ad061c6a5c6a0e1c84511b1a2eb7db2f6764e35,0,43,5.4-M5
2016,5.4-M7,366217e521da38a4b17f7e6ada0f4d6612475580,0ad061c6a5c6a0e1c84511b1a2eb7db2f6764e35,0,20,5.4-M5
2017,5.4-M6,868e4d9403268e0f17235e1993496e92cb8883be,0ad061c6a5c6a0e1c84511b1a2eb7db2f6764e35,0,15,5.4-M5
2018,5.4-M4,eaf7b87bb681e86ebef1778039de929c211b1f99,0ad061c6a5c6a0e1c84511b1a2eb7db2f6764e35,40,0,5.4-M5
2019,5.4-M3,0fddc5fa4ea33882b60e072eee51f0e1ea585b4c,0ad061c6a5c6a0e1c84511b1a2eb7db2f6764e35,80,0,5.4-M5
2020,5.4-M2,d7ea0a8b14b8649144f7bfbff055f207d954d6c9,0ad061c6a5c6a0e1c84511b1a2eb7db2f6764e35,97,0,5.4-M5
2021,5.3,8db783e62b266eeb0d0b10dc050a7ca50e96c5d1,0ad061c6a5c6a0e1c84511b1a2eb7db2f6764e35,141,0,5.4-M5
2022,5.3-RC3,e735681d1b11ff0e90c254a3b5302e290ffa05a6,0ad061c6a5c6a0e1c84511b1a2eb7db2f6764e35,143,0,5.4-M5
2023,5.3-RC2,29a84111f6cc9298f83df515830ff40a41d0976c,0ad061c6a5c6a0e1c84511b1a2eb7db2f6764e35,150,0,5.4-M5
2024,5.3-RC1,c979578645aaf77c447b250136db32a7067619a1,0ad061c6a5c6a0e1c84511b1a2eb7db2f6764e35,190,1,5.4-M5
