tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
,,55451690,,java,broken,3,java-ant,"",false,,,,,,,,,"",,574
,,55459899,,java,broken,3,java-ant,"",false,,,,,,,,,"",,425
,,55460224,,java,broken,3,java-ant,"",false,,,,,,,,,"",,498
,,55460883,,java,broken,3,java-ant,"",false,,,,,,,,,"",,438
,,55460887,,java,broken,0,java-ant,"",false,,,,,,,,,"",,516
,,55461585,,java,broken,3,java-ant,"",false,,,,,,,,,"",,488
,,55461823,,java,broken,4,java-ant,"",false,,,,,,,,,"",,494
,,55462151,,java,broken,3,java-ant,"",false,,,,,,,,,"",,499
,,55462153,,java,broken,0,java-ant,"",false,,,,,,,,,"",,500
,,55464310,,java,broken,3,java-ant,"",false,,,,,,,,,"",,400
,,55465819,,java,broken,3,java-ant,"",false,,,,,,,,,"",,391
,,55468766,,java,broken,4,java-ant,"",false,,,,,,,,,"",,706
,,55474591,,java,broken,3,java-ant,"",false,,,,,,,,,"",,487
,,55478477,,java,broken,3,java-ant,"",false,,,,,,,,,"",,449
,,55478492,,java,broken,0,java-ant,"",false,,,,,,,,,"",,576
,,55482152,,java,broken,3,java-ant,"",false,,,,,,,,,"",,423
,,55482244,,java,broken,0,java-ant,"",false,,,,,,,,,"",,509
,,55488435,,java,broken,3,java-ant,"",false,,,,,,,,,"",,424
,,55492335,,java,broken,3,java-ant,"",false,,,,,,,,,"",,520
,,55498480,,java,broken,3,java-ant,"",false,,,,,,,,,"",,420
,,55500301,,java,broken,4,java-ant,"",false,,,,,,,,,"",,447
,,55504983,,java,broken,3,java-ant,"",false,,,,,,,,,"",,416
,,55506558,,java,broken,3,java-ant,"",false,,,,,,,,,"",,463
,,55507668,,java,broken,5,java-ant,"",false,,,,,,,,,"",,141
,,55507714,,java,broken,0,java-ant,"",false,,,,,,,,,"",,163
,,55511611,,java,broken,3,java-ant,"",false,,,,,,,,,"",,412
,,55511613,,java,broken,0,java-ant,"",false,,,,,,,,,"",,476
,,55513408,,java,broken,3,java-ant,"",false,,,,,,,,,"",,461
,,55517446,,java,broken,3,java-ant,"",false,,,,,,,,,"",,461
,,55525119,,java,broken,4,java-ant,"",false,,,,,,,,,"",,433
,,55540474,,java,broken,4,java-ant,"",false,,,,,,,,,"",,421
,,55544722,,java,broken,3,java-ant,"",false,,,,,,,,,"",,11.01
,,55549703,,java,broken,4,java-ant,"",false,,,,,,,,,"",,412
,,55553761,,java,broken,4,java-ant,"",false,,,,,,,,,"",,452
,,55558257,,java,broken,3,java-ant,"",false,,,,,,,,,"",,505
,,55560723,,java,broken,4,java-ant,"",false,,,,,,,,,"",,466
,,55564909,,java,broken,3,java-ant,"",false,,,,,,,,,"",,135
,,55566455,,java,broken,3,java-ant,"",false,,,,,,,,,"",,468
,,55602144,,java,broken,3,java-ant,"",false,,,,,,,,,"",,470
,,55605573,,java,broken,3,java-ant,"",false,,,,,,,,,"",,546
,,55608005,,java,broken,3,java-ant,"",false,,,,,,,,,"",,411
,,55611074,,java,broken,3,java-ant,"",false,,,,,,,,,"",,530
,,55614237,,java,broken,4,java-ant,"",false,,,,,,,,,"",,501
,,55614910,,java,broken,3,java-ant,"",false,,,,,,,,,"",,110
,,55618269,,java,broken,3,java-ant,"",false,,,,,,,,,"",,457
,,55625578,,java,broken,3,java-ant,"",false,,,,,,,,,"",,499
,,55627534,,java,broken,4,java-ant,"",false,,,,,,,,,"",,497
,,55627961,,java,broken,4,java-ant,"",false,,,,,,,,,"",,452
,,55627981,,java,broken,1,java-ant,"",false,,,,,,,,,"",,492
,,55629278,,java,broken,4,java-ant,"",false,,,,,,,,,"",,480
,,55631721,,java,broken,3,java-ant,"",false,,,,,,,,,"",,422
,,55631825,,java,broken,3,java-ant,"",false,,,,,,,,,"",,469
,,55634614,,java,broken,3,java-ant,"",false,,,,,,,,,"",,425
,,55639753,,java,broken,3,java-ant,"",false,,,,,,,,,"",,516
,,55639868,,java,broken,4,java-ant,"",false,,,,,,,,,"",,514
,,55644762,,java,broken,3,java-ant,"",false,,,,,,,,,"",,410
,,55645840,,java,broken,4,java-ant,"",false,,,,,,,,,"",,447
,,55646687,,java,broken,3,java-ant,"",false,,,,,,,,,"",,472
,,55650441,,java,broken,3,java-ant,"",false,,,,,,,,,"",,420
,,55658697,,java,broken,3,java-ant,"",false,,,,,,,,,"",,561
,,55658959,,java,broken,3,java-ant,"",false,,,,,,,,,"",,448
,,55669600,,java,broken,3,java-ant,"",false,,,,,,,,,"",,10.63
,,55673502,,java,broken,3,java-ant,"",false,,,,,,,,,"",,446
,,55675418,,java,broken,4,java-ant,"",false,,,,,,,,,"",,423
,,55675810,,java,broken,3,java-ant,"",false,,,,,,,,,"",,424
,,55675924,,java,broken,0,java-ant,"",false,,,,,,,,,"",,449
,,55678622,,java,broken,4,java-ant,"",false,,,,,,,,,"",,438
