,from_tag,from_author_date,ahead_by,behind_by,from_sha,to_sha,to_tag,to_author_date,ahead_behind_sum,diff_author_dates,diff_author_days,from_commit_date,to_commit_date,diff_commit_dates,diff_commit_days,n_jobs,n_builds,n_merge_jobs,n_pull_request_jobs,Tag,jira_version,version_name,post_release_bugs,pre_release_bugs,pre_release_after_tagging_bugs,dde,critical_post_release_bugs,minor_post_release_bugs,fix_time
32,5.4-M8,2016-01-18 08:43:40,37,0,162d76a0e6964f1d42069b42ce0362fedd151f75,ed6f219718bdc9c6435e0cd32e4aa81d558fc302,5.4-M9,2016-01-21 08:29:19,37,2 days 23:45:39,2.9900347222222217,2016-01-18 18:35:44,2016-01-21 09:29:19,2 days 14:53:35,2.620543981481481,351,39,0,144,,,,,,,,,,
33,5.4-M9,2016-01-21 08:29:19,36,0,ed6f219718bdc9c6435e0cd32e4aa81d558fc302,bea2847df13b73c7364193419873e3e8b47b5b73,5.4-M10,2016-01-28 16:10:59,36,7 days 07:41:40,7.320601851851853,2016-01-21 09:29:19,2016-01-28 17:10:59,7 days 07:41:40,7.320601851851853,324,36,0,207,,,,,,,,,,
34,5.4-RC1,2016-02-09 11:54:50,3,0,6bb02b28a33282bda2b9ed6bc995a4aee68ff172,df6129a0913277db1ec8f8ac4b9cc0303b8c9c25,5.4-M14,2016-02-11 09:49:41,3,1 days 21:54:51,1.9130902777777776,2016-02-09 12:54:50,2016-02-11 14:28:21,2 days 01:33:31,2.064942129629629,54,6,0,27,,,,,,,,,,
35,5.4-RC1,2016-02-09 11:54:50,3,0,6bb02b28a33282bda2b9ed6bc995a4aee68ff172,df6129a0913277db1ec8f8ac4b9cc0303b8c9c25,5.4-M1,2016-02-11 09:49:41,3,1 days 21:54:51,1.9130902777777776,2016-02-09 12:54:50,2016-02-11 14:28:21,2 days 01:33:31,2.064942129629629,54,6,0,27,,,,,,,,,,
36,5.4-RC2,2016-02-15 15:38:37,11,0,e8f951d9f2a99975e31f82d97fce68f47e9242d3,19310ef05676362f6b88be6d1edc22a12af372b4,5.4-RC3,2016-03-01 09:36:10,11,14 days 17:57:33,14.748298611111109,2016-02-15 16:38:37,2016-03-01 10:36:10,14 days 17:57:33,14.748298611111109,81,9,0,45,,,,,,,,,,
37,5.4-RC2,2016-02-15 15:38:37,36,1,e8f951d9f2a99975e31f82d97fce68f47e9242d3,8909ccd99b9bc5874f24395519d66e2bcb9bdacb,5.5-M1,2016-02-12 15:43:47,37,-3 days +00:05:10,-2.996412037037037,2016-02-15 16:38:37,2016-02-15 09:09:03,-1 days +16:30:26,-0.3121990740740741,224,31,0,0,,,,,,,,,,
38,5.4-RC3,2016-03-01 09:36:10,7,0,19310ef05676362f6b88be6d1edc22a12af372b4,ca9cfe39623b1ae2fdab458348f1b92838b7f151,5.4-RC4,2016-03-04 16:25:47,7,3 days 06:49:37,3.2844560185185183,2016-03-01 10:36:10,2016-03-04 17:25:47,3 days 06:49:37,3.2844560185185183,36,4,0,0,,,,,,,,,,
39,5.4-RC4,2016-03-04 16:25:47,3,0,ca9cfe39623b1ae2fdab458348f1b92838b7f151,7b02df9be3cd9448699b5857586e1c6e2b28c007,5.4,2016-03-08 15:48:19,3,3 days 23:22:32,3.9739814814814816,2016-03-04 17:25:47,2016-03-08 16:48:19,3 days 23:22:32,3.9739814814814816,36,4,0,0,5.4,5.4,5.4,21.0,12.0,9.0,0.3636363636363637,1.0,0.0,-93.04584049823632
40,5.5,2016-05-02 14:09:29,318,0,5773a4aab0ef6c0de79d3038e82f8a051049d6d0,a28bb3e5d6988747f1bcd7896be07a6afe56914f,5.6-RC1,2016-05-20 11:21:25,318,17 days 21:11:56,17.883287037037032,2016-05-02 16:09:29,2016-05-20 13:21:25,17 days 21:11:56,17.883287037037032,2247,321,0,1127,,,,,,,,,,
41,5.5-M1,2016-02-12 15:43:47,32,0,8909ccd99b9bc5874f24395519d66e2bcb9bdacb,1792451e5e318a0cfb2e0085115d4c68f8025828,5.5-M2,2016-02-17 14:21:51,32,4 days 22:38:04,4.943101851851852,2016-02-15 09:09:03,2016-02-17 15:22:01,2 days 06:12:58,2.25900462962963,198,28,0,0,,,,,,,,,,
