,issue_id,subtask_key,subtask_id
706,32441,SONAR-4669,31806
707,32441,SONAR-4670,31767
708,32441,SONAR-4672,31772
709,32441,SONAR-4673,31777
710,32441,SONAR-4674,31769
711,32441,SONAR-4726,32439
712,28313,SONAR-6085,26762
713,28313,SONAR-6086,26759
714,28313,SONAR-6087,26757
715,28313,SONAR-6089,26622
716,31184,SONAR-4463,31567
717,31184,SONAR-4464,31608
718,31184,SONAR-4465,31572
719,31184,SONAR-4466,31566
720,31184,SONAR-4467,31565
721,31184,SONAR-4507,31614
722,31458,SONAR-4391,31474
723,31458,SONAR-4392,31469
724,31458,SONAR-4393,31496
725,31458,SONAR-4394,31476
726,29014,SONAR-5091,27341
727,29014,SONAR-5092,27357
728,29014,SONAR-5093,27302
729,29014,SONAR-5094,27859
730,29014,SONAR-5095,27986
731,29014,SONAR-5096,27313
732,29014,SONAR-5097,27160
733,31564,SONAR-4714,31814
734,31564,SONAR-4715,31801
735,31564,SONAR-4716,31859
736,31564,SONAR-4718,31304
737,31564,SONAR-4738,31821
738,31564,SONAR-4752,31816
739,31564,SONAR-4755,31833
740,26790,SONAR-7143,44295
741,26790,SONAR-7144,44296
742,26790,SONAR-7145,44297
743,26790,SONAR-7146,44298
744,26790,SONAR-7147,44299
745,26790,SONAR-7148,44311
746,26790,SONAR-7149,44312
747,26790,SONAR-7177,44628
748,26790,SONAR-7178,44629
749,26790,SONAR-7179,44632
750,32443,SONAR-4709,31792
751,32443,SONAR-4711,31828
752,32443,SONAR-4712,31807
753,32443,SONAR-4713,31840
754,32443,SONAR-4724,31841
755,31418,SONAR-4282,31429
756,31418,SONAR-4283,31245
757,31418,SONAR-4285,27657
758,31418,SONAR-4286,32411
759,31418,SONAR-4287,31378
760,31418,SONAR-4288,27654
761,31418,SONAR-4290,31436
762,31418,SONAR-4291,27717
763,31418,SONAR-4292,27691
764,31418,SONAR-4293,26890
765,31418,SONAR-4294,27629
766,31418,SONAR-4295,27632
767,31418,SONAR-4296,31325
768,31418,SONAR-4297,27673
769,31418,SONAR-4298,27648
770,31418,SONAR-4299,27646
771,31418,SONAR-4300,27682
772,31418,SONAR-4301,31519
773,31418,SONAR-4303,31133
774,31418,SONAR-4304,32409
775,31418,SONAR-4305,31520
776,31418,SONAR-4306,27710
777,31418,SONAR-4307,27712
778,31418,SONAR-4308,27698
779,31418,SONAR-4309,31440
780,31418,SONAR-4310,27708
781,31418,SONAR-4311,31430
782,31418,SONAR-4312,31427
783,31418,SONAR-4313,27680
784,31418,SONAR-4314,26877
785,31418,SONAR-4315,31508
786,31418,SONAR-4316,27703
787,31418,SONAR-4321,27719
788,31418,SONAR-4329,31406
789,31418,SONAR-4330,31419
790,31418,SONAR-4333,31343
791,31418,SONAR-4337,27662
792,31418,SONAR-4341,27696
793,31418,SONAR-4352,31438
794,31418,SONAR-4353,27686
795,31418,SONAR-4354,31421
796,31418,SONAR-4359,27697
797,31422,SONAR-4420,31331
798,31422,SONAR-4421,31434
799,26813,SONAR-5895,26732
800,26813,SONAR-5896,26736
801,26813,SONAR-5897,27099
802,26813,SONAR-5898,26738
803,26813,SONAR-5899,29648
804,26813,SONAR-5900,27101
805,26813,SONAR-5901,27103
806,26813,SONAR-5903,27108
807,26813,SONAR-5935,29664
808,26813,SONAR-5970,29742
809,31487,SONAR-4452,32388
810,31487,SONAR-4453,31553
811,31487,SONAR-4454,31552
812,31399,SONAR-4682,31788
813,31399,SONAR-4683,31837
814,27818,SONAR-3145,26789
815,27818,SONAR-3146,32102
816,30604,SONAR-2598,30692
817,30604,SONAR-2599,27976
818,30604,SONAR-2600,30288
819,30604,SONAR-2606,28331
820,31363,SONAR-2585,31362
821,31363,SONAR-2710,30835
822,27353,SONAR-4092,27001
823,27353,SONAR-4093,27071
824,27353,SONAR-4094,27084
825,30728,SONAR-2405,30256
826,30728,SONAR-2406,30210
827,30728,SONAR-2407,30649
828,30713,SONAR-2219,30716
829,30713,SONAR-2220,30717
830,30713,SONAR-2221,29517
831,30713,SONAR-2222,30707
832,30713,SONAR-2223,28346
833,29994,SONAR-6324,29619
834,29994,SONAR-6567,30033
835,29994,SONAR-6568,30053
836,29994,SONAR-6569,30049
837,29994,SONAR-6589,30068
838,29994,SONAR-6590,30064
839,29994,SONAR-6596,32475
840,29994,SONAR-6620,39078
841,29994,SONAR-6623,39292
842,29994,SONAR-6628,39324
843,29994,SONAR-6635,39409
844,29994,SONAR-6636,39445
845,29994,SONAR-6643,39532
846,29994,SONAR-6644,39533
847,29994,SONAR-6646,39535
848,29994,SONAR-6664,39876
849,32205,SONAR-2073,27768
850,32205,SONAR-3457,32214
851,32205,SONAR-3458,27802
852,32205,SONAR-3459,27807
853,32205,SONAR-3460,27843
854,32205,SONAR-3461,27775
855,32205,SONAR-3462,27811
856,32205,SONAR-3464,27801
857,32205,SONAR-3465,27803
858,30586,SONAR-6753,40798
859,30586,SONAR-6754,40807
860,31275,SONAR-2048,30596
861,31275,SONAR-2052,30598
862,31272,SONAR-1106,30170
863,32147,SONAR-1937,29569
864,32147,SONAR-1941,30489
865,31709,SONAR-2752,30867
866,28938,SONAR-923,28237
867,32142,SONAR-399,32141
868,28974,SONAR-384,28970
869,28974,SONAR-385,30092
870,28974,SONAR-390,26682
871,28974,SONAR-407,28963
872,28974,SONAR-408,26674
873,31020,SONAR-1936,29918
874,31020,SONAR-1956,31310
875,30362,SONAR-1095,31155
876,30362,SONAR-1096,30976
877,30362,SONAR-1097,29536
878,30362,SONAR-1267,30348
879,30992,SONAR-2589,30847
880,30992,SONAR-2590,28458
881,30992,SONAR-2591,30079
882,30992,SONAR-2592,31904
883,30992,SONAR-2593,31905
