,from_tag,to_tag,ahead_by,behind_by,from_sha,to_sha
94,5.5,5.1.2,0,4577,5773a4aab0ef6c0de79d3038e82f8a051049d6d0,2a52a7106b2bfbd659c591c2d6fc09ad0ab2db5c
95,5.6,5.1.2,0,4926,074f3d1169f9688d15af4aff67e7e672cbeed782,2a52a7106b2bfbd659c591c2d6fc09ad0ab2db5c
96,6.2,5.1.2,0,6721,4a28f29f95254b58f3cf0a0871bc632e998403f5,2a52a7106b2bfbd659c591c2d6fc09ad0ab2db5c
97,5.3,5.1.2,0,3414,8db783e62b266eeb0d0b10dc050a7ca50e96c5d1,2a52a7106b2bfbd659c591c2d6fc09ad0ab2db5c
98,5.6.5,5.1.2,0,5024,29a8d73d1b3fb39fd35c777bf07be40873391517,2a52a7106b2bfbd659c591c2d6fc09ad0ab2db5c
99,5.6.2,5.1.2,0,4983,9c1c190107023ffca5f67d6d0184ff5371c5347f,2a52a7106b2bfbd659c591c2d6fc09ad0ab2db5c
100,5.1.1,5.1.2,12,0,0a231d24c0f1e7ce1d200274b8e9bbe00f9f49fb,2a52a7106b2bfbd659c591c2d6fc09ad0ab2db5c
101,4.5.7,5.1.2,2374,75,e2afb0bff1b8be759789d2c1bc9348de6f519f83,2a52a7106b2bfbd659c591c2d6fc09ad0ab2db5c
102,5.1,5.1.2,19,0,4aa9af3a6a4362b61db365fba32eb0a55d411e7a,2a52a7106b2bfbd659c591c2d6fc09ad0ab2db5c
103,5.6.4,5.1.2,0,5013,52298794f1a34a4fd713ff8d441a0c13432e40a9,2a52a7106b2bfbd659c591c2d6fc09ad0ab2db5c
104,5.6.1,5.1.2,0,4958,4f37a3f3b40da4bba953d1ed9a2b0d114869a8ad,2a52a7106b2bfbd659c591c2d6fc09ad0ab2db5c
105,5.1.2,5.2,2853,0,2a52a7106b2bfbd659c591c2d6fc09ad0ab2db5c,f045be98be3ba032b6b19d71574038eeeb91803b
106,5.4,5.2,0,999,7b02df9be3cd9448699b5857586e1c6e2b28c007,f045be98be3ba032b6b19d71574038eeeb91803b
107,5.6.6,5.2,0,2174,05221592672b903c703c0424dc77458e615c106d,f045be98be3ba032b6b19d71574038eeeb91803b
108,6.3,5.2,0,4883,43ea4f4c43aa89d4c435017f86d0da254e115e6b,f045be98be3ba032b6b19d71574038eeeb91803b
109,6.1,5.2,0,3172,442f1a11b2365618f58f3f456a756995a6318225,f045be98be3ba032b6b19d71574038eeeb91803b
110,5.6.2,5.2,0,2130,9c1c190107023ffca5f67d6d0184ff5371c5347f,f045be98be3ba032b6b19d71574038eeeb91803b
111,5.6.4,5.2,0,2160,52298794f1a34a4fd713ff8d441a0c13432e40a9,f045be98be3ba032b6b19d71574038eeeb91803b
112,5.6.5,5.2,0,2171,29a8d73d1b3fb39fd35c777bf07be40873391517,f045be98be3ba032b6b19d71574038eeeb91803b
113,6.2,5.2,0,3868,4a28f29f95254b58f3cf0a0871bc632e998403f5,f045be98be3ba032b6b19d71574038eeeb91803b
114,5.6.3,5.2,0,2143,a68d912046cfbbe3f9d1493ab53414face1adae2,f045be98be3ba032b6b19d71574038eeeb91803b
115,5.1.1,5.2,2865,0,0a231d24c0f1e7ce1d200274b8e9bbe00f9f49fb,f045be98be3ba032b6b19d71574038eeeb91803b
116,5.5,5.2,0,1724,5773a4aab0ef6c0de79d3038e82f8a051049d6d0,f045be98be3ba032b6b19d71574038eeeb91803b
117,5.3,5.2,0,561,8db783e62b266eeb0d0b10dc050a7ca50e96c5d1,f045be98be3ba032b6b19d71574038eeeb91803b
118,6.3.1,5.2,0,4894,54be39f47d188340b14d4d9236bbf3d43b1db2ae,f045be98be3ba032b6b19d71574038eeeb91803b
119,6.0,5.2,0,2580,8fd98eebd4c693bedae9c2ce45d6edc9ff2830fa,f045be98be3ba032b6b19d71574038eeeb91803b
120,5.6,5.2,0,2073,074f3d1169f9688d15af4aff67e7e672cbeed782,f045be98be3ba032b6b19d71574038eeeb91803b
121,5.6.1,5.2,0,2105,4f37a3f3b40da4bba953d1ed9a2b0d114869a8ad,f045be98be3ba032b6b19d71574038eeeb91803b
122,5.6.7,5.2,0,2184,3de1bdeb3255fedc75885313205143f28aa89e9c,f045be98be3ba032b6b19d71574038eeeb91803b
123,6.3.2,5.2,0,4901,84ad17dd4e53eae1221d1af96fb45d8997f2e2fa,f045be98be3ba032b6b19d71574038eeeb91803b
124,4.5.6,5.2,5227,68,12d931e5a31e1692a428bbb34ba11cd63aebf998,f045be98be3ba032b6b19d71574038eeeb91803b
125,4.5.7,5.2,5227,75,e2afb0bff1b8be759789d2c1bc9348de6f519f83,f045be98be3ba032b6b19d71574038eeeb91803b
126,6.1.1,5.2,0,3176,6a70cefe40b1b8127eb4e7ef3436a5c43fe938b4,f045be98be3ba032b6b19d71574038eeeb91803b
127,6.4,5.2,0,5937,ad64a17b531c0e1f6fef0ce7e4d0d0b060977754,f045be98be3ba032b6b19d71574038eeeb91803b
128,5.1,5.2,2872,0,4aa9af3a6a4362b61db365fba32eb0a55d411e7a,f045be98be3ba032b6b19d71574038eeeb91803b
129,4.5.6,5.3,5788,68,12d931e5a31e1692a428bbb34ba11cd63aebf998,8db783e62b266eeb0d0b10dc050a7ca50e96c5d1
130,5.6.1,5.3,0,1544,4f37a3f3b40da4bba953d1ed9a2b0d114869a8ad,8db783e62b266eeb0d0b10dc050a7ca50e96c5d1
131,5.6.2,5.3,0,1569,9c1c190107023ffca5f67d6d0184ff5371c5347f,8db783e62b266eeb0d0b10dc050a7ca50e96c5d1
132,5.5,5.3,0,1163,5773a4aab0ef6c0de79d3038e82f8a051049d6d0,8db783e62b266eeb0d0b10dc050a7ca50e96c5d1
133,6.3.1,5.3,0,4333,54be39f47d188340b14d4d9236bbf3d43b1db2ae,8db783e62b266eeb0d0b10dc050a7ca50e96c5d1
134,4.5.7,5.3,5788,75,e2afb0bff1b8be759789d2c1bc9348de6f519f83,8db783e62b266eeb0d0b10dc050a7ca50e96c5d1
135,5.6.3,5.3,0,1582,a68d912046cfbbe3f9d1493ab53414face1adae2,8db783e62b266eeb0d0b10dc050a7ca50e96c5d1
