,from_tag,from_date,from_sha,to_sha,ahead_by,behind_by,to_tag,to_date,diff_dates,diff_days
1002,6.2-RC2,2016-12-02 07:39:58,b7608b6a0818d0b4372681d3cd224a930eb80410,e52bc616764bb8cdcd53803f77119f19c6dbb2ce,12,0,6.2-RC3,2016-12-09 10:07:17,7 days 02:27:19,7.102303240740741
981,6.2-RC3,2016-12-09 10:07:17,e52bc616764bb8cdcd53803f77119f19c6dbb2ce,4a28f29f95254b58f3cf0a0871bc632e998403f5,4,0,6.2,2016-12-13 15:05:23,4 days 04:58:06,4.207013888888889
874,6.2.1,2017-01-16 16:00:20,8a667b2e3358144ea6d0affaf7673ebd290b0b78,534fc279a64c7b836f39d476d15192999944b9eb,936,0,6.3-RC1,2017-02-14 11:06:25,28 days 19:06:05,28.795891203703704
873,6.2.1,2017-01-16 16:00:20,8a667b2e3358144ea6d0affaf7673ebd290b0b78,534fc279a64c7b836f39d476d15192999944b9eb,936,0,6.3.0.18401,2017-02-14 11:06:25,28 days 19:06:05,28.795891203703704
800,6.3,2017-03-14 09:12:39,43ea4f4c43aa89d4c435017f86d0da254e115e6b,54be39f47d188340b14d4d9236bbf3d43b1db2ae,11,0,6.3.1,2017-04-11 12:44:29,28 days 03:31:50,28.147106481481487
919,6.3-RC4,2017-03-04 17:53:45,e23682d9e420ef59da282322ca9dc6e3fc59d75b,43ea4f4c43aa89d4c435017f86d0da254e115e6b,8,0,6.3,2017-03-14 09:12:39,9 days 15:18:54,9.638125
815,6.3.0.18401,2017-02-14 11:06:25,534fc279a64c7b836f39d476d15192999944b9eb,3b673b37f88fc38b84244bd541d20ee9ac510486,10,0,6.3.0.18587,2017-02-16 16:38:40,2 days 05:32:15,2.230729166666667
773,6.3.0.18587,2017-02-16 16:38:40,3b673b37f88fc38b84244bd541d20ee9ac510486,7a8f38e05f2264d550c232cd89518abd1155870a,16,0,6.3.0.18800,2017-02-22 15:04:12,5 days 22:25:32,5.934398148148147
933,6.3.0.18800,2017-02-22 15:04:12,7a8f38e05f2264d550c232cd89518abd1155870a,e23682d9e420ef59da282322ca9dc6e3fc59d75b,24,0,6.3-RC4,2017-03-04 17:53:45,10 days 02:49:33,10.117743055555557
752,6.3.1,2017-04-11 12:44:29,54be39f47d188340b14d4d9236bbf3d43b1db2ae,84ad17dd4e53eae1221d1af96fb45d8997f2e2fa,7,0,6.3.2,2017-04-24 08:51:14,12 days 20:06:45,12.838020833333333
731,6.3.2,2017-04-24 08:51:14,84ad17dd4e53eae1221d1af96fb45d8997f2e2fa,04b7bf3ccc22daea116a67e6ba174237805e5ccf,1001,0,6.4-RC1,2017-05-16 15:00:32,22 days 06:09:18,22.25645833333333
649,6.4,2017-06-02 08:32:25,ad64a17b531c0e1f6fef0ce7e4d0d0b060977754,25592161f1698d5be10311cab517cd4824445945,188,0,6.5-M1,2017-06-20 15:42:21,18 days 07:09:56,18.298564814814814
