,issue_id,component_name,component_id
656,91515,Web,11366
657,91483,Rules,11073
658,91483,Web,11366
659,91470,Web,11366
660,91370,Security Hotspots,12573
661,91365,Compute Engine,11118
662,91365,Database,11077
663,91365,Measures,11112
664,91359,Database,11077
665,91359,Issues,11096
666,91359,Security Hotspots,12573
667,91351,Security Hotspots,12573
668,91351,Web,11366
669,91349,Security Hotspots,12573
670,91349,Web,11366
671,91349,Web API,11100
672,91342,Web,11366
673,91341,Security Hotspots,12573
674,91341,Web,11366
675,91332,Security Hotspots,12573
676,91332,Web,11366
677,91331,Security Hotspots,12573
678,91331,Web,11366
679,91330,Branch & PR,11094
680,91330,Web,11366
681,91328,UX/UI,11968
682,91328,Web,11366
683,91281,Issues,11096
684,91218,Authentication & Authorization,11086
685,91199,Documentation,11067
686,91198,Database,11077
687,91198,Documentation,11067
688,91192,Web,11366
689,91184,Project Export,12373
690,91184,Web,11366
691,91172,Web,11366
692,91171,Web,11366
693,91170,Web,11366
694,91163,Web,11366
695,91162,Web,11366
696,91160,Web,11366
697,91154,Web,11366
698,91133,Markdown,11090
699,91133,Web,11366
700,91124,Branch & PR,11094
701,91124,Documentation,11067
702,91093,Database,11077
703,91093,Documentation,11067
704,91080,Authentication & Authorization,11086
705,91075,Branch & PR,11094
706,91073,Web,11366
707,91072,Branch & PR,11094
708,91031,Branch & PR,11094
709,91007,Branch & PR,11094
710,91007,Portfolio & Application,12272
711,91006,Branch & PR,11094
712,91006,Portfolio & Application,12272
713,90982,Branch & PR,11094
714,90982,Web,11366
715,90982,Web API,11100
716,90914,Portfolio & Application,12272
717,90914,Web,11366
718,90898,Branch & PR,11094
719,90898,Portfolio & Application,12272
720,90891,Documentation,11067
721,90889,Authentication & Authorization,11086
722,90889,Documentation,11067
723,90872,Portfolio & Application,12272
724,90802,Authentication & Authorization,11086
725,90802,Web,11366
726,90801,Portfolio & Application,12272
727,90772,Compute Engine,11118
728,90768,Documentation,11067
729,90766,PDF Reporting,12372
730,90766,Portfolio & Application,12272
731,90764,Branch & PR,11094
732,90764,Documentation,11067
733,90759,Settings,11891
734,90754,Web,11366
735,90754,Web API,11100
736,90752,Web,11366
737,90716,Compute Engine,11118
738,90671,Branch & PR,11094
739,90670,Branch & PR,11094
740,90668,Branch & PR,11094
741,90665,Authentication & Authorization,11086
742,90664,Issues,11096
743,90660,Documentation,11067
744,90626,Web,11366
745,90613,Rules,11073
746,90613,Web,11366
747,90612,Web API,11100
748,90602,Authentication & Authorization,11086
749,90552,Security Hotspots,12573
